FILE;SIDE;IC_1;TO_1;IC_2;TO_2;IC_3;TO_3;IC_4;TO_4;IC_5;TO_5;IC_6;TO_6;IC_7;TO_7;IC_8;TO_8;IC_9;TO_9;IC_10;TO_10;IC_11;TO_11;IC_12;TO_12;IC_13;TO_13;IC_14;TO_14;IC_15;TO_15;IC_16;TO_16;IC_17;TO_17;IC_18;TO_18;IC_19;TO_19;IC_20;TO_20;IC_21;TO_21;IC_22;TO_22;IC_23;TO_23;IC_24;TO_24;IC_25;TO_25;IC_26;TO_26;IC_27;TO_27;IC_28;TO_28;IC_29;TO_29;IC_30;TO_30
S001_SF_Rep_2.7.xlsx;r;-1;3.233;-1;4.117;-1;4.995;-1;5.872;-1;6.764;-1;7.655;-1;8.545;-1;9.423;-1;10.31;-1;11.19;-1;12.1;-1;12.98;-1;13.88;-1;14.78;-1;15.66;-1;16.54;-1;17.44;-1;18.33;-1;19.22;-1;20.13;-1;21.01;-1;21.91;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SF_Rep_2.7.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SF_Rep_3.8.xlsx;r;-1;3.611;-1;4.516;-1;5.42;-1;6.332;-1;7.216;-1;8.113;-1;8.998;-1;9.882;-1;10.79;-1;11.68;-1;12.58;-1;13.47;-1;14.36;-1;15.25;-1;16.15;-1;17.04;-1;17.94;-1;18.83;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SF_Rep_3.8.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SF_Rep_4.9.xlsx;r;-1;3.28;-1;4.124;-1;4.988;-1;5.852;-1;6.716;-1;7587.;-1;8.471;-1;9.356;-1;10.25;-1;11.13;-1;11.99;-1;12.89;-1;13.77;-1;14.64;-1;15.52;-1;16.4;-1;17.29;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SF_Rep_4.9.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SF_Rep_5.10.xlsx;r;-1;3.652;-1;4.543;-1;5.44;-1;6.338;-1;7.216;-1;8.1;-1;9.005;-1;9.896;-1;10.78;-1;11.66;-1;12.56;-1;13.46;-1;14.36;-1;15.23;-1;16.11;-1;17.01;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SF_Rep_5.10.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SS_Rep_1.11.xlsx;r;-1;3.733;-1;4.752;-1;5.744;-1;6.75;-1;7.756;-1;8.775;-1;9.821;-1;10.85;-1;11.88;-1;12.91;-1;13.93;-1;14.94;-1;15.92;-1;16.94;-1;17.94;-1;18.95;-1;19.95;-1;20.95;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SS_Rep_1.11.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SS_Rep_2.12.xlsx;r;-1;3.814;-1;4.853;-1;5.879;-1;6.905;-1;7.924;-1;8.944;-1;9.977;-1;11;-1;12.04;-1;13.05;-1;14.08;-1;15.11;-1;16.13;-1;17.15;-1;18.18;-1;19.2;-1;20.22;-1;21.24;-1;22.26;-1;23.27;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SS_Rep_2.12.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SS_Rep_3.13.xlsx;r;-1;3.848;-1;4.84;-1;5.845;-1;6.851;-1;7.857;-1;8.876;-1;9.855;-1;10.87;-1;11.88;-1;12.87;-1;13.88;-1;14.88;-1;15.85;-1;16.84;-1;17.83;-1;18.84;-1;19.82;-1;20.82;-1;21.83;-1;22.82;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SS_Rep_3.13.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SS_Rep_4.14.xlsx;r;-1;3.118;-1;4.131;-1;5.13;-1;6.136;-1;7.141;-1;8.147;-1;9.126;-1;10.1;-1;11.09;-1;12.06;-1;13.04;-1;14.02;-1;15;-1;15.99;-1;16.96;-1;17.95;-1;18.91;-1;19.87;-1;20.84;-1;21.81;-1;22.77;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SS_Rep_4.14.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SS_Rep_6.16.xlsx;r;-1;3.875;-1;4.914;-1;5.953;-1;7.007;-1;8.033;-1;9.065;-1;10.01;-1;11.14;-1;12.19;-1;13.21;-1;14.26;-1;15.29;-1;16.34;-1;17.36;-1;18.39;-1;19.41;-1;20.45;-1;21.47;-1;22.51;-1;23.54;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SS_Rep_6.16.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
